label	url	license	creator	title	page
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/010G5eh3SqutdghT7MAn/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/0286ugTosTHZsfbRWitk/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/02Io0PutJzQ7SC9X0KAB/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/032foghPfnnSe29GHeWA/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/0395VWotX44q9hYcALW1/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/03bWoTEreXQSKOGPOrsS/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/04Cr3CG3JH5vKQcVEv7a/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/04vYK3ajIn8SulAf5elV/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/057dXH70qypp3Kef7G1O/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/05EkcAhRAu0R7ovg8ZZn/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/06vH6gnvN5A8WOogykpC/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/072Ro8JyQnY6N2eYnFN7/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/07AFIUvRjSC0asivjZSa/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
spaghetti	https://source.roboflow.com/OJPtv0zEXuagVZdJUQWbwHRvwMH3/082Jp4hqyrfX81NhY5Lj/original.jpg	CC BY 4.0	SpaghettiDetect	3D printing flaws	https://universe.roboflow.com/spaghettidetect/3d-printing-flaws
